	FCBH/DBS	ISO	Language	Year	description	exist_API	exist_BibleIS
3287	ROLTBL	rol	Romblomanon	2017	TBL Version	True	True
3288	RNGGEN	rng	Ronga	1894	Genesis Poritons in Ronga	False	False
3289	RNGNTR	rng	Ronga	1903	The New Testament in Ronga	False	False
3290	ROOWBT	roo	Rotokas	1982	Rotokas 1982 Edition	True	True
3291	RTMGEN	rtm	Rotuman	1975	Genesis Portion in Rotuman	False	False
3292	RUGPRE	rug	Roviana	1994	Roviana New Testament 1994	False	False
3293	RUGWBT	rug	Roviana	2016	Roviana 2017 Edition	True	True
3294	PCEHMJ	pce	Pale Palaung	2012	2012 Edition	True	True
3295	PCETBN	pce	Pale Palaung	1997	New Testament in Palaung, Ruching (1997)	False	False
3296	DRUNEW	dru	Rukai	2017	Rukai New Testament	False	False
3297	1BISLS	run	Rundi	2014	Burundian Sign Language Bible Portions	False	False
3298	RUNBSB	run	Rundi	2007	Rundi 2007 Edition	True	True
3299	RUNK67	run	Rundi	1967	Kirundi Bible	False	False
3300	BXRIBT	bxr	Russia Buriat	2010	Russia Buriat IBT New Testament	True	True
3301	RUSBLI	rus	Russian	2014	Russian Easy to Read	False	False
3302	RUSCAS	rus	Russian	1970	Cassian New Testament	False	False
3303	RUSCHL	rus	Russian	1994	Russian Illustrated Children's Bible	False	False
3304	RUSCRV	rus	Russian	2011	Contemprary Russian Version	False	False
3305	RUSGAR	rus	Russian	1912	New Testament in Greek and Russian	False	False
3306	RUSIBS	rus	Russian	2013	Russian Central Asian Russian Version	True	True
3307	RUSIBT	rus	Russian	1913	Explanatory Bible in Russian	False	False
3308	RUSLCV	rus	Russian	2005	The Zhuromsky Bible	False	False
3309	RUSNRT	rus	Russian	2006	Holy Bible, New Russian Translation	False	False
3310	RUSPEN	rus	Russian	2011	The Pentateuch of Moses in Russian	False	False
3311	RUSS76	rus	Russian	1876	Russian 1876 Synodal Bible	True	True
3312	RUSS95	rus	Russian	1995	Russian Holy Synod (1995)	False	False
3313	RUSSVR	rus	Russian	2018	SVR Version	False	False
3314	RUSTBN	rus	Russian	1991	Bible in Russian	False	False
3315	RUSWTC	rus	Russian		2014 Edition	True	True
3316	RUSCARS	rus	Russian	2013	The Russian Eastern Bible	False	False
3317	RUSCARSA	rus	Russian	2013	The Russian Eastern Bible for Tajikistan	False	False
3318	RUSCARST	rus	Russian	2013	Central Asian Russian Scriptures (Tajik Version)	False	False
3319	RUEFKB	rue	Rusyn	1921	Bible Portions in Rusyn	False	False
3320	KSWSGW	ksw	S'gaw Karen	1963	Karen (Sgaw) Bible	False	False
3321	KSW1850	ksw	S'gaw Karen	1850	Old Karen Version	False	False
3322	APBOLD	apb	Sa'a	2016	Sa'a Old Testament	False	False
3323	LSMBSU	lsm	Saamia	2010	Saamia 2010 Edition	True	True
3324	SPYWBT	spy	Sabaot	1997	Sabaot 1997 Edition	True	True
3325	HVNLAI	hvn	Sabu	2000	Sabu 2000 Edition	True	True
3326	HVNMRK	hvn	Sabu	2016	Hawu Gospel of Mark	False	False
3327	SCKFBI	sck	Sadri	2017	Sadri Bible	False	False
3328	SCKIEM	sck	Sadri		IEM Version	True	True
3329	APZWBT	apz	Safeyoka	1988	Safeyoka 1988 Edition	True	True
3330	SAJBSI	saj	Sahu	2015	Sahu New Testament	False	False
3331	AECEBS	aec	Sa‘idi Spoken Arabic		Portions of the Bible in Saidi Arabic	False	False
3332	ACFWBT	acf	Saint Lucian Creole French	1999	The New Testament in St. Lucian Creole	False	False
3333	QXLQSV	qxl	Salasaca Highland Quichua	2016	Salaska Highland Quichua Version	True	True
3334	QXLWBT	qxl	Salasaca Highland Quichua	2016	Salaska Highland Quichua New Testament	False	False
3335	SBEWBT	sbe	Saliba	2007	Matthew and Mark in Saliba	False	False
3336	SLLTBL	sll	Salt-Yui	1978	Salt-Yui 1978 Edition	True	True
3337	LOELAI	loe	Coastal Saluan		2002 Edition	True	True
3338	LOENEW	loe	Coastal Saluan	2002	Saluan New Testament	False	False
3339	SAMHEB	sam	Samaritan Aramaic	0050 C.E	New Covenant Aramaic/Hebrew Peshitta	False	False
3340	NDIBSC	ndi	Samba Leko	2001	Samba Leko New Testament	False	False
3341	XSBWBT	xsb	Tinà Sambal	1999	Sambal New Testament (with Tagalog)	False	False
3342	XSBWYI	xsb	Tinà Sambal		1999 Edition	True	True
3343	SSXPNG	ssx	Samberigi	1991	Samberigi 1991 Edition	True	True
3344	SMOBSP	smo	Samoan	2010	Samoan BSSP Version	True	True
3345	RAVFUL	rav	Sampang	2008	Sampang New Testament	False	False
3346	CUKNVS	cuk	San Blas Kuna	1995	The Bible in San Blas Kuna	True	True
3347	CUKWB9	cuk	San Blas Kuna	2009	The New Testament in San Blas Kuna	False	False
3348	POWWBT	pow	San Felipe Otlaltepec Popoloca	1993	Portions of the Bible in San Felipe Otlaltepec Popoloca	False	False
3349	MAASJV	maa	San Jerónimo Tecóatl Mazatec	2012	San Jerónimo Tecuanipan Mazatec 2012 (San Jeronimo)	True	True
3350	POETBL	poe	San Juan Atzingo Popoloca	1982	San Juan Atzingo Popoloca 1982 Edition	False	False
3351	POEWBT	poe	San Juan Atzingo Popoloca	2016	San Juan Atzingo Popoloca 2016 Edition	False	False
3352	MJCOTP	mjc	San Juan Colorado Mixtec	2003	Old Testament Portions in Mixtec, San Juan Colorado	False	False
3353	MJCV08	mjc	San Juan Colorado Mixtec	2008	San Juan Colorado Mixtec New Testament (2008)	False	False
3354	MJCWBT	mjc	San Juan Colorado Mixtec	1994	San Juan Colorado Mixtec New Testament	False	False
3355	PPSTBL	pps	San Luís Temalacayuca Popoloca	2010	Temalacayuca Popoloca New Testament	False	False
3356	PLSGEN	pls	San Marcos Tlalcoyalco Popoloca	1974	Bible Stories in Popoloca (Genesis to Deuteronomy)	False	False
3357	PLSWBT	pls	San Marcos Tlalcoyalco Popoloca	1983	Tlacoyalco Popoloca New Testament	False	False
3358	TRQTBL	trq	San Martín Itunyoso Triqui	2009	Triqui New Testament (2009)	True	True
3359	TRQWBT	trq	San Martín Itunyoso Triqui	1996	Triqui de San Martin Itunyoso New Testament	False	False
3360	QVSTBL	qvs	San Martín Quechua	1992	San Marti­n Quechua 1992 Edition	True	True
3361	HUVTBL	huv	San Mateo del Mar Huave	1996	San Mateo Del Mar Huave 1988 Edition	True	True
3362	MIGWBT	mig	San Miguel el Grande Mixtec	1951	San Miguel Grande Mixtec New Testament	False	False
3363	AZGTBL	azg	San Pedro Amuzgos Amuzgo	1992	San Pedro Amuzgos Amuzgo 1992 Edition	True	True
3364	ZPFWBT	zpf	San Pedro Quiatoni Zapotec	2011	Galatians in Zapoteco de San Pedro Quiatoni	False	False
3365	KWYS16	kwy	San Salvador Kongo	1916	Kikongo San Salvador Bible (1916)	False	False
3366	KWYS93	kwy	San Salvador Kongo	1893	Kikongo San Salvador New Testament (1893)	False	False
3367	ZPTWBT	zpt	San Vicente Coatlán Zapotec	2012	Zapoteco de Coatlán New Testament (2015)	False	False
3368	SPNBLA	spn	Sanapaná		La Biblia de las Americas	True	True
3369	SPNDLH	spn	Sanapaná		Nueva Biblia Latinoamericana de Hoy	True	True
3370	SPNLBV	spn	Sanapaná		2006 Edition	True	True
3371	SPNLPS	spn	Sanapaná		La Palabra - Spain	True	True
3372	SPNR02	spn	Sanapaná			True	True
3373	SPNSEV	spn	Sanapaná			True	True
3374	SXNLAI	sxn	Sangir	2003	Sangir 2003 Edition	True	True
3375	SAGCAR	sag	Sango	2003	Sango 2003 Edition	True	True
3376	NSABSI	nsa	Sangtam Naga	1995	The Bible in Sangtam Naga	False	False
3377	SNYWBT	sny	Saniyo-Hiyewe	2004	Saniyo-Hiyewe 2004 Edition	True	True
3378	MSCPBT	msc	Sankaran Maninka	2015	Sankaran Maninka Bible Portions	False	False
3379	MDVNTP	mdv	Santa Lucía Monteverde Mixtec	1971	Santa Lucía Monteverde Mixtec Scripture Portions	False	False
3380	ZPIWYI	zpi	Santa María Quiegolani Zapotec	2010	Santa Mari­a Quiegolani Zapotec 2010 Edition	True	True
3381	MZANTP	mza	Santa María Zacatepec Mixtec	1971	Santa María Zacatepec Mixtec New Testament Portions	False	False
3382	MZAWBT	mza	Santa María Zacatepec Mixtec	2015	Zacatepec Mixtec New Testament	True	True
3383	COKWBT	cok	Santa Teresa Cora	2005	Santa Teresa Cora WBT Edition	True	True
3384	SATBSI	sat	Santali	2018	Union Version	False	False
3385	SATCLV	sat	Santali	2016	Santali Common Language Version	False	False
3386	SATGGO	sat	Santali		The Bible in Santhali	False	False
3387	ZASWYI	zas	Santo Domingo Albarradas Zapotec	2010	Santo Domingo Albarradas Zapotec 2010 Edition	True	True
3388	XSUMEV	xsu	Sanumá	2007	Sanumἀ 2007 Edition	True	True
3389	SPSWBT	sps	Saposa	2001	The New Testament in Saposa	True	True
3390	MWMBSC	mwm	Sar	2010	2006 Edition	False	False
3391	SKRSBS	skr	Seraiki	2013	Saraiki Bible Stories	False	False
3392	SRMWBT	srm	Saramaccan	1998	Saramaccan 1998 Edition	True	True
3393	BPSGEN	bps	Sarangani Blaan		Portions of the Bible in Sarangani Blaan	False	False
3394	BPSWPS	bps	Sarangani Blaan	1998	Sarangani Blaan 1998 Edition	True	True
3395	MBSWBT	mbs	Sarangani Manobo	1982	The New Testament in Sarangani Manobo	False	False
3396	SASLAI	sas	Sasak	2007	Sasak Today's Sasak Version, 2007	True	True
3397	MAVWBT	mav	Sateré-Mawé	1986	The New Testament in Sateré-Mawé	False	False
3398	MJTBSI	mjt	Sauria Paharia	2018	BSI Version	False	False
3399	TUCWBT	tuc	Mutu	2011	2011 Edition	False	False
3400	POSSBM	pos	Sayula Popoluca	2015	Popoluca Sayula New Testament	False	False
3401	SCOLUK	sco	Scots	2013	The Gospel of Luke in Ulster-Scots	False	False
3402	SCOSNT	sco	Scots	1901	The New Testament in Scots	False	False
3403	GLASBS	gla	Scottish Gaelic	2010	The Gospel of John in Scottish Gaelic	False	False
3404	GLASGM	gla	Scottish Gaelic	2017	Scots Gaelic New Testament	False	False
3405	GULWBT	gul	Sea Island Creole English	1979	The New Testament in Gullah	False	False
3406	SGWBSE	sgw	Sebat Bet Gurage	1982	Sebat Bet Gurage 1982 Edition	True	True
3407	SEYWBT	sey	Secoya	2012	The New Testament in Secoya	True	True
3408	TVWLAI	tvw	Sedoa	2018	LAI Version	True	False
3409	SFWBIB	sfw	Sehwi	2007	Sehwi New Testament	False	False
3410	SSGWBT	ssg	Seimat	2012	Seimat 2012 Edition	True	True
3411	LIPWBT	lip	Sekpele	2008	Sekpele 2008 Edition	True	True
3412	SNWWBT	snw	Selee	2009	Selee WBT Version	True	True
3413	SPLWBT	spl	Selepet	1986	Selepet 1986 Edition	True	True
3414	SEAWBT	sea	Semai	2016	Portions of the Bible in Semai	False	False
3415	SDMGFA	sdm	Semandang		2017 Edition	True	True
3416	SEHBSM	seh	Sena	2017	Chisena New Testament	True	True
3417	SEHWBT	seh	Sena	1983	The New Tesament in Sena	False	False
3418	SEEGOS	see	Seneca	1874	The Four Gospels	False	False
3419	SEELUK	see	Seneca	1829	The Gospel of Luke	False	False
3420	IWSWBT	iws	Sepik Iwam	1989	Sepik Iwam 1989 Edition	True	True
3421	SRPB65	srp	Serbian	1865	Serbian Bible 1865 (Cyrillic)	False	False
3422	SRPBLI	srp	Serbian	2006	Serbian: Easy to Read	False	False
3423	SRPL65	srp	Serbian	1865	Serbian Bible 1865 (Latin)	False	False
3424	SRPNSP	srp	Serbian	2017	New Serbian Translation (NSP)	False	False
3425	SRRFUL	srr	Serer-Sine	2007	Serer-Sine 1987 Edition	False	False
3426	SEITBL	sei	Seri	1982	Portions of the Bible in Seri	False	False
3427	CRSBSS	crs	Seselwa Creole French	2014	Seychelles Kreol Bible and Deuterocanon	False	False
3428	KSBBST	ksb	Shambala	2018	1969 Edition	True	True
3429	SHNSHN	shn	Shan	2015	2002 Edition	False	False
3430	SHOSIM	sho	Shanga	2018	2017 Edition	False	False
3431	MCDWBT	mcd	Sharanahua	2008	The New Testament in Sharanahua	False	False
3432	SHESBS	she	Sheko	2013	Sheko Bible Stories	False	False
3433	XSRXSR	xsr	Sherpa	2014	The New Testament in Sherpa	False	False
3434	SHKBSS	shk	Shilluk	2013	Shilluk BSS Version	True	True
3435	SHPTBL	shp	Shipibo-Conibo	2012	Shipibo-Conibo 2012 Edition	True	True
3436	SNABSZ	sna	Shona	1963	The New Testament in Shona	False	False
3437	SNASNA	sna	Shona	1995	Shona 1949 Edition	False	False
3438	SNASUV	sna	Shona	2002	Shona Union Version 2002	False	False
3439	CJSIBT	cjs	Shor	2012	Portions of the Bible in Shor	False	False
3440	SHHMRK	shh	Shoshoni	1986	The Gospel of Mark	False	False
3441	JIVAIE	jiv	Shuar	1983	Shuar 2009 Edition	True	True
3442	SNPWBT	snp	Siane	1991	Komongu Siane New Testament	True	True
3443	SNPSLV	snp	Siane	1997	Siane 1997 Edition	False	False
3444	ZAATBL	zaa	Sierra de Juárez Zapotec	1970	Sierra de Juarez Zapotec 1970 Edition	True	True
3445	NSUWBT	nsu	Sierra Negra Nahuatl	2017	Sierra Negra Nahuatl New Testament	True	True
3446	BLAJHN	bla	Blackfoot	1979	The Gospel of John in Blackfoot	False	False
3447	BLAMAT	bla	Blackfoot	1890	The Gospel of Matthew in Blackfoot	False	False
3448	MKSTBL	mks	Silacayoapan Mixtec	1999	Silacayoapan Mixtec 1999 Edition	True	True
3449	SMTBIB	smt	Simte	2010	Simte New Testament	False	False
3450	SMTBIV	smt	Simte		2010 Edition	True	True
3451	SNCPNG	snc	Sinaugoro	1995	Sinaugoro 1995 Edition	True	True
3452	SNDCLB	snd	Sindhi	2009	Sindhi Common Language New Testament	False	False
3453	SINNRV	sin	Sinhala	2006	New Revised Sinhala Version	False	False
3454	SINOLD	sin	Sinhala	1938	Old Revised Version	False	False
3455	SINR73	sin	Sinhala	1973	1973 Revised New Version	False	False
3456	RMORAM	rmo	Sinte Romani	2010	Sinte Romani Romanes Arbeit Marburg	True	True
3457	SINT1875	rmo	Sinte Romani	2017	Sinti Romani Song of Solomon (Italy) 1875	False	False
3458	XSITBL	xsi	Sio	1995	Sio New Testament and Psalms (1995)	False	False
3459	SNNWBT	snn	Siona	1982	The New Testament in Siona	True	True
3460	SRIWBT	sri	Siriano	2009	Siriano 2009 Edition	True	True
3461	SRQWBT	srq	Sirionó	1977	The New Testament in Siriono	False	False
3462	SRXFBI	srx	Sirmauri	2017	Sirmauri Bible	False	False
3463	SSDWBT	ssd	Siroi	1999	Siroi 1999 Edition	True	True
3464	SLDTBL	sld	Sissala	1999	Sissala 1999 Edition	True	True
3465	SSOWBT	sso	Sissano		Portions of the Bible in Sissano	False	False
3466	AKPWBT	akp	Siwu	2008	Siwu 2008 Edition	True	True
3467	CSYCLB	csy	Siyin Chin	2004	Siyin Common Language Bible	False	False
3468	DENARC	den	Slave (Athapascan)	1891	The Epistles in Tenni (Slave)	False	False
3469	SLKCPV	slk	Slovak	2014	The Bible in Slovak	False	False
3470	SLKECU	slk	Slovak	2008	Slovak Ecumenical Translation	False	False
3471	SLKNPK	slk	Slovak	1993	The New Testament in Slovak (1993)	False	False
3472	SLKROH	slk	Slovak	1936	The Roháček Version	False	False
3473	SLKS97	slk	Slovak	1997	Slovak New Testament (1997)	False	False
3474	SLKTBN	slk	Slovak	1978	New Testament in Slovak (1978)	False	False
3475	SLVBEB	slv	Slovenian	2008		False	False
3476	SLVECU	slv	Slovenian	1974	Slovenian Ecumenical Edition	False	False
3477	SLVNTP	slv	Slovenian	1882	Stritarja New Testament and Psalms (1882)	False	False
3478	SLVSSV	slv	Slovenian	1996	Slovenian Standard Version	False	False
3479	SLVUBS	slv	Slovenian	1990	Slovenian Jubilee Version of the New Testament	False	False
3480	SLVSLNT	slv	Slovenian	2014	Slovenian Living New Testament	False	False
3481	CSOTBL	cso	Sochiapan Chinantec	1986	Sochiapam Chinantec 1986 Edition	True	True
3482	XOGBSU	xog	Soga	2014	Soga BSU Version	True	True
3483	SOMB13	som	Somali	2013	Somali 2008 Edition	False	False
3484	SOMSIM	som	Somali	2007	Somali 2007 Edition	True	True
3485	BMUPNG	bmu	Burum-Mindik	2002	Somba-Siawari New Testament and Portions	True	True
3486	BMUWBT	bmu	Burum-Mindik	2002	New Testament in Somba-Siawari	False	False
3487	SORFBI	sor	Somrai	2016	Soriyali Bible	False	False
3488	SOPB52	sop	Songe	1952	The Bible in Songye	False	False
3489	SOPSNT	sop	Songe	1978	The New Testament in Songye	False	False
3490	URWPBT	urw	Sop	2007	Sop 2007 Edition	False	False
3491	SRBBSI	srb	Sora	2018	BSI Version	False	False
3492	AZBEMV	azb	South Azerbaijani	2009	South Azerbaijani 2009 Version	True	True
3493	QUHQUE	quh	South Bolivian Quechua	2014	South Bolivian Quechua New Testament (2014)	False	False
3494	QUHQUH	quh	South Bolivian Quechua	2011	South Bolivian Quechua New Testament	False	False
3495	QUHSBB	quh	South Bolivian Quechua	1993	South Bolivian Quechua 1993 Edition	True	True
3496	QUHWBT	quh	South Bolivian Quechua	1976	Central Bolivian Quechua 1976	False	False
3497	QUHDTMR	quh	South Bolivian Quechua	2006	South Bolivian Quechua (2006 Edition)	False	False
3498	FALTBL	fal	South Fali	1975	South Fali 1975 Edition	True	True
3499	GIZBSC	giz	South Giziga	1996	The Holy Bible in Giziga	False	False
3500	KORNKSB	kor	Korean	1993	Revised New Korean Standard Bible	False	False
3501	NBLBSSA	nbl	Ndebele	2012	The Bible in Isindebele	False	False
3502	OMWVEQ	omw	South Tairora	2012	Portions of the New Testament in Veqaurian Omwunra-Toqura 	False	False
3503	CPYWBT	cpy	South Ucayali Asheninka	2008	South Ucayali Ashéninka New Testament and Portions	False	False
3504	TVKWBT	tvk	Southeast Ambrym	2015	Southeast Ambrym New Testament	False	False
3505	DKSPSA	dks	Southeastern Dinka	1956	Dinka Bor Pointed Psalms 1956	False	False
3506	DKSTBN	dks	Southeastern Dinka	2004	New Testament in Dinka, Southeastern	False	False
3507	MXYNTP	mxy	Southeastern Nochixtlán Mixtec	2003	New Testament Portions in Mixtec, Nochixtlán	False	False
3508	NPLWYI	npl	Nahuatl, Southeastern Puebla	2011	Southeastern Puebla Nahuatl WBT Version	True	True
3509	STPOTS	stp	Southeastern Tepehuan	2007	Portions of the Old Testament in Tepehuan de Durango	False	False
3510	STPTBL	stp	Southeastern Tepehuan	2007	Southeastern Tepehuan 2007 Edition	True	True
3511	ALTALT	alt	Southern Altai		Altai New Testament	False	False
3512	ALTIBT	alt	Southern Altai	2003	Southern Altai 2003 Edition	True	True
3513	BCCBNT	bcc	Southern Balochi	2001	Balochi New Testament	False	False
3514	BCCMAT	bcc	Southern Balochi	1899	The Gospel of Matthew in Balochi	False	False
3515	BCCWBT	bcc	Southern Balochi	2015	The Book of John in Southern Balochi	False	False
3516	BCCWBTR	bcc	Southern Balochi	2015	The Book of John in Southern Balochi (Romanized)	False	False
3517	BIVWBT	biv	Southern Birifor	2006	Southern Birifor 2006 Edition	True	True
3518	BWQBBB	bwq	Southern Bobo Madaré	2004	Bible in Bobo Madaré	False	False
3519	BWQBFO	bwq	Southern Bobo Madaré	1981	New Testament in Bobo-fing	True	True
3520	BWQBSB	bwq	Southern Bobo Madaré	2004	Southern Bobo Madaré 2004 Edition	True	True
3521	CAFWBT	caf	Southern Carrier	2002	The Bible in Southern Carrier	False	False
3522	QXOLLB	qxo	Southern Conchucos Ancash Quechua	2002	Southern Conchucos Ancash Quechua 2002 Edition	True	True
3523	DGABIV	dga	Southern Dagaare		2015 Edition	True	True
3524	DGANEW	dga	Southern Dagaare	2016	Southern Dagaare New Testament	False	False
3525	CRJJBN	crj	Southern East Cree	2001	Cree Eastern/James Bay New Testament	False	False
3526	GHEFUL	ghe	Southern Ghale	2016	Ghale New Testament	False	False
3527	KSCKSC	ksc	Southern Kalinga	1986	Southern Kalinga New Testament	False	False
3528	KSSB12	kss	Southern Kisi	2012	The Bible in Kisi	False	False
3529	KSSBSL	kss	Southern Kisi	1991	The New Testament in Southern Kisi	True	True
3530	NABWBT	nab	Southern Nambikuára	1992	The New Testament in Nambikuara	False	False
3531	NNWWBT	nnw	Southern Nuni	1999	Southern Nuni 1999 Edition	True	True
3532	PBTPNT	pbt	Southern Pashto	1996	The New Testament in Pashto	False	False
3533	QUPTBL	qup	Southern Pastaza Quechua	1997	Southern Pastaza Quechua 1997 Edition	True	True
3534	MITTBL	mit	Southern Puebla Mixtec	1978	Southern Puebla Mixtec 1978 Edition	True	True
3535	RENGMABSI	nre	Southern Rengma Naga	1995	Rengma Naga CL Bible (BSI)	False	False
3536	ZSRWBT	zsr	Southern Rincon Zapotec	2009	Zapoteco del Rincón Sur New Testament	False	False
3537	SMAGPJ	sma	South Saami	2013	Scripture Portions in Southern Sami	False	False
3538	SBDABB	sbd	Southern Samo	1995	Southern Samo 1995 Edition	True	True
3539	SOTB89	sot	Southern Sotho	1989	Southern Sotho 1989 Bible	False	False
3540	SOTBSA	sot	Southern Sotho	2018	1989 Edition	False	False
3541	SOTL09	sot	Southern Sotho	1909	Southern Sotho 1909 Bible (Lesotho Orthography)	False	False
3542	SOTS09	sot	Southern Sotho	1909	Southern Sotho 1909 Bible (Standard Orthography)	False	False
3543	TIXWBT	tix	Southern Tiwa	1987	Portions of the New Testament in Southern Tiwa	False	False
3544	WIBWIB	wib	Southern Toussian	2013	Southern Toussian New Testament	False	False
3545	GSOCAR	gso	Southwest Gbaya	2005	Southwest Gbaya 2005 Edition	True	True
3546	GSOGSO	gso	Southwest Gbaya	2015	Gbaya South West New Testament	False	False
3547	NWIWBT	nwi	Southwest Tanna	2012	The New Testament in Nivhaar	True	True
3548	DIKTBL	dik	Southwestern Dinka	2006	Southwestern Dinka 2006 Edition	True	True
3549	MEHNTP	meh	Southwestern Tlaxiaco Mixtec	2015	Southwestern Tlaxiaco Mixtec New Testament Portions	False	False
3550	SPABDA	spa	Spanish	2010	Bible of America	False	False
3551	SPABLA	spa	Spanish	1986	The Bible of the Americas	False	False
3552	SPACHL	spa	Spanish	2011	Children's Bible	False	False
3553	SPACST	spa	Spanish	2005	New International Version	False	False
3554	SPADHH	spa	Spanish	1994	Good News Bible	False	False
3555	SPADLH	spa	Spanish	1986	Nueva Biblia Latinoamericana de Hoy	False	False
3556	SPAERV	spa	Spanish	2000	La Palabra de Dios para Todos	False	False
3557	SPAESP	spa	Spanish	2010	The Word for Spain	False	False
3558	SPAHIS	spa	Spanish	2010	The Word for Latin America	False	False
3559	SPAICV	spa	Spanish	2008	Interconfessional Version	False	False
3560	SPAJUB	spa	Spanish	2000	The Jubilee Bible	False	False
3561	SPALAR	spa	Spanish		Portions of the Bible in Spanish	False	False
3562	SPALBI	spa	Spanish	2013	The Illustrated Word of God for All	False	False
3563	SPALBV	spa	Spanish	2006	Spanish 2006 Edition	False	False
3564	SPANBD	spa	Spanish	2008	The New Living Bible in Spanish	False	False
3565	SPANTV	spa	Spanish	2010	New Living Translation	False	False
3566	SPANVI	spa	Spanish	1999	New International Version	False	False
3567	SPAPDT	spa	Spanish	2016	The Word of God for Everyone	False	False
3568	SPAR02	spa	Spanish	1602	Reina-Valera Antigua	False	False
3569	SPAR60	spa	Spanish	1960	Reina-Valera 1960	False	False
3570	SPAR77	spa	Spanish	1977	Reina-Valera 1977	False	False
3571	SPAR89	spa	Spanish	1989	Reina-Valera 1989	False	False
3572	SPAR95	spa	Spanish	1995	Reina Valera 1995	False	False
3573	SPARVC	spa	Spanish	2009	Reina-Valera Contemporary	False	False
3574	SPASEV	spa	Spanish	1569	Sagradas Escrituras 1569	False	False
3575	SPATLA	spa	Spanish	2000	Contemporary Spanish Version	False	False
3576	SPAVBL	spa	Spanish	2018	The New Testament in Spanish, Free Bible Version	False	False
3577	SPAVPO	spa	Spanish	1976	Popular Spanish Version	False	False
3578	SPAWTC	spa	Spanish	2005	The Word of God for All	False	False
3579	SPARV00	spa	Spanish	2000	Reina-Valera 2000	False	False
3580	SPARV09	spa	Spanish	1909	Reina-Valera 1909	False	False
3581	SPANVI15	spa	Spanish	2015	New International Version	False	False
3582	SRNBSS	srn	Sranan	2002	Sranan Tongo 2002 Edition	True	True
3583	ARBAKI	arb	Standard Arabic		Kidz Arabic Drama	False	False
3584	ARBASV	arb	Standard Arabic	2000	Sharif Bible	False	False
3585	ARBB08	arb	Standard Arabic	1908	Arabic New Testament (1908)	False	False
3586	ARBGNB	arb	Standard Arabic	1993	Good News	False	False
3587	ARBIBS	arb	Standard Arabic	2005	The Book of Life	True	True
3588	ARBKEH	arb	Standard Arabic	1997	Arabic Book of Life	False	False
3589	ARBLAB	arb	Standard Arabic	1997	Arabic Life Application Bible	False	False
3590	ARBNVD	arb	Standard Arabic	1999	New Van Dyke Version	False	False
3591	ARBRCV	arb	Standard Arabic	1880	Revised Catholic	False	False
3592	ARBTMG	arb	Standard Arabic	2008	True Meaning of the Gospel of Christ	False	False
3593	ARBVDV	arb	Standard Arabic	1865	Arabic Van Dyke	False	False
3594	ARBWBT	arb	Standard Arabic	2009	Arabic: Easy To Read	False	False
3595	ARBWTC	arb	Standard Arabic	2009, 2016	Easy to Read Version	True	True
3596	EKKCHL	ekk	Standard Estonian	1992	Estonian Children's Bible	False	False
3597	EKKEST	ekk	Standard Estonian	1739	The Bible in Estonian	False	False
3598	LVSJEG	lvs	Standard Latvian	1965	Johann Ernst Glück Latvian Bible	False	False
3599	LVSLNT	lvs	Standard Latvian	1685	Latvian New Testament	False	False
3600	STOWBT	sto	Stoney	1970	Wycliffe Portions of the Bible in Stoney	False	False
3601	SWPPNG	swp	Suau	1998	Suau 1998 Edition	True	True
3602	SXBWBT	sxb	Suba	2010	The New Testament in Suba	False	False
3603	APDASV	apd	Sudanese Spoken Arabic	2005	Sudanese Arabic Sharif Version	False	False
3604	TGOTBL	tgo	Sudest	2014	Sudest New Testament	True	True
3605	TGOWBT	tgo	Sudest	2014	Sudest New Testament	False	False
3606	SUEWBT	sue	Suena	2011	Suena 2011 Edition	True	True
3607	SUKBST	suk	Sukuma	2015	The Bible in Sukuma	False	False
3608	SUKCLV	suk	Sukuma	2001	Sukuma Common Language Version	False	False
3609	SUKTBL	suk	Sukuma	1997	Sukuma 1997 Edition	True	True
3610	SUAWBT	sua	Sulka	1997	The New Testament in Sulka	False	False
3611	NSMCLV	nsm	Sumi Naga	2018	Common Language Version	False	False
3612	WRAWSV	wra	Warapu	2018	WBT Version	False	False
3613	SUNIBS	sun	Sunda	1997	Sundanese Formal Version	True	True
3614	SUNTSV	sun	Sunda	1991	Sundanese Today's Version	True	True
3615	SUZWBT	suz	Sunwar	2011	The Bible in Sunwar	True	True
3616	SPPTBL	spp	Supyire Senoufo	2008	Supyire Senoufo 2008 Edition	True	True
3617	SGLFBI	sgj	Surgujia	2016	Surgujia Bible	False	False
3618	SJPSTY	sjp	Surajpuri	2018	Surjapuri Storying	False	False
3619	SGZWBT	sgz	Sursurunga	2009	Sursurunga 2009 Edition	True	True
3620	SUSAPB	sus	Susu	2015	Susu Bible portions, Arabic Script	False	False
3621	SUSFBI	sus	Susu	2015	Susu Bible	False	False
3622	SUSPBT	sus	Susu	2010	The Bible in Susu	True	True
3623	SWHHNV	swh	Swahili	1995	Habari Njema (Interconfessional) Version	False	False
3624	SWHKSB	swh	Swahili	2001	Swahili Bible	False	False
3625	SWHPOR	swh	Swahili	1850	Portions of the New Testament in Swahili	False	False
3626	SWHSNT	swh	Swahili	1989	Swahili New Testament	False	False
3627	SWHSUV	swh	Swahili	1997	Habari Njema (Interconfessional)	False	False
3628	SWHTBN	swh	Swahili	1990	New Testament in Kiswahili	False	False
3629	SSWS96	ssw	Swati	1996	Swati 1996 Edtion	False	False
