ISO	NAM_LABEL	LMP_LON	LMP_LAT	GENEALOGY
ahp	Aproumu Aizi	-4.52192	5.20273	Niger-Congo, Atlantic-Congo, Volta-Congo, Kru, Aizi
ahr	Ahirani	73.685	21.552	Indo-European, Indo-Iranian, Indo-Aryan, Central zone, Khandesi
ahs	Ashe	7.39443	9.36574	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Plateau, Western, Northwestern, Koro
aht	Ahtena	-144.88894	61.70684	Eyak-Athabaskan, Athabaskan, Northern Athabaskan
aia	Arosi	161.43153	-10.24414	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, San Cristobal
aib	Ainu	76.42088	39.27141	Altaic, Turkic, Eastern
aic	Ainbai	141.14867	-3.09214	Border, Bewani
aid	Alngith	141.93798	-12.53236	Australian, Pama-Nyungan, Paman, Northern Pama
aie	Amara	148.68005	-5.55778	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Ngero-Vitiaz, Vitiaz, Southwest New Britain, Amara
aif	Agi	142.38677	-3.49104	Torricelli, Wapei-Palei, Palei
aig	Antigua and Barbuda Creole English	-61.78942	17.0805	Creole, English based, Atlantic, Eastern, Southern
aih	Ai-Cham	107.84359	25.49083	Tai-Kadai, Kam-Tai, Kam-Sui
aii	Assyrian Neo-Aramaic	43.50269	37.09724	Afro-Asiatic, Semitic, Central, Aramaic, Eastern, Central, Northeastern
aij	Lishanid Noshan	35.51134	32.45782	Afro-Asiatic, Semitic, Central, Aramaic, Eastern, Central, Northeastern
aik	Ake	8.75768	8.59543	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Plateau, Western, Southwestern, B
ail	Aimele	142.65551	-6.68656	Trans-New Guinea, Bosavi
aim	Aimol	94.35562	24.64368	Sino-Tibetan, Tibeto-Burman, Sal, Kuki-Chin-Naga, Kuki-Chin, Northern
ain	Ainu	142.87464	43.05529	Language isolate
aio	Aiton	92.3169	26.51452	Tai-Kadai, Kam-Tai, Tai, Southwestern
aip	Burumakok	140.03004	-5.12217	Trans-New Guinea, Ok-Awyu, Ok, Western
aiq	Aimaq	64.62116	34.27009	Indo-European, Indo-Iranian, Iranian, Western, Southwestern, Persian
air	Airoran	138.15778	-1.8522	Tor-Kwerba, Greater Kwerba, Kwerba, West Coast
ais	Nataoran Amis	121.59005	23.93858	Austronesian, East Formosan, Central
ait	Arikem	-63.742	-8.924	Tupian, Arikem
aix	Aigon	150.27247	-5.99488	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Ngero-Vitiaz, Vitiaz, Southwest New Britain, Arawe-Pasismanua, Pasismanua
aiy	Ali	18.03518	4.60014	Niger-Congo, Atlantic-Congo, Volta-Congo, North, Adamawa-Ubangi, Ubangi, Gbaya-Manza-Ngbaka, East
aiz	Aari	36.57211	5.95034	
aja	Aja	25.61221	8.58003	Nilo-Saharan, Central Sudanic, West, Kresh
ajg	Aja	1.77879	7.00083	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Left Bank, Gbe, Aja
aji	Ajië	165.46767	-21.30289	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, New Caledonian, Southern, South, Wailic
ajp	South Levantine Spoken Arabic	35.78394	31.43032	Afro-Asiatic, Semitic, Central, South, Arabic
ajt	Judeo-Tunisian Arabic	34.89403	31.73193	Afro-Asiatic, Semitic, Central, South, Arabic
aju	Judeo-Moroccan Arabic	34.85522	31.82429	Afro-Asiatic, Semitic, Central, South, Arabic
ajw	Ajawa	9.89205	10.21005	Afro-Asiatic, Chadic, West, B, B.2
ajz	Amri	91.482	26.024	Sino-Tibetan, Tibeto-Burman, Sal, Kuki-Chin-Naga, Karbi
aka	Akan	-1.33254	6.34756	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Potou-Tano, Tano, Central, Akan
akb	Batak Angkola	99.60248	1.66127	Austronesian, Malayo-Polynesian, Northwest Sumatra-Barrier Islands, Batak, Southern
akc	Mpur	133.16598	-0.7489	Language isolate
akd	Ukpet-Ehom	8.10047	5.58316	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Delta Cross, Upper Cross, Akpet
ake	Akawaio	-60.61405	6.08065	Cariban, North Amazonian, Pemón, Pemón proper, Kapong
akf	Akpa	8.01629	7.32586	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Idomoid, Yatye-Akpa
akg	Anakalangu	119.60465	-9.63425	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Sumba-Hawu, Sumba
akh	Angal Heneng	143.47808	-6.13347	Trans-New Guinea, Engan, Angal-Kewa
aki	Aiome	144.76523	-5.13467	Ramu-Lower Sepik, Ramu, Middle Ramu
akj	Aka-Jeru	92.95043	13.15249	Andamanese, Great Andamanese, Northern
akl	Aklanon	122.35413	11.55432	Austronesian, Malayo-Polynesian, Philippine, Greater Central Philippine, Central Philippine, Bisayan, West, Aklan
akm	Aka-Bo	92.80108	12.36294	Andamanese, Great Andamanese, Northern
akn	Amikoana	-51.67454	2.55741	
ako	Akurio	-55.6294	3.19607	Cariban, Tiriyó, Tiriyó
akp	Siwu	0.44362	7.23811	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Potou-Tano, Lelemi, Lelemi-Akpafu
akq	Ak	141.78374	-3.57026	Sepik, Yellow River
akr	Araki	166.94246	-15.63141	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, West Santo
aks	Akaselem	1.37035	8.8858	Niger-Congo, Atlantic-Congo, Volta-Congo, North, Gur, Central, Northern, Oti-Volta, Gurma, Ntcham
